ParticleID,Vignette,Class
04072021_Huron_10_2mm_Rep2_AD_000002_particle_0,04072021_Huron_10_2mm_Rep2_AD_000002_vign000000.png,Calanoid_1
04072021_Huron_10_2mm_Rep2_AD_000005_particle_1,04072021_Huron_10_2mm_Rep2_AD_000005_vign000001.png,Calanoid_1
04072021_Huron_10_2mm_Rep2_AD_000010_particle_2,04072021_Huron_10_2mm_Rep2_AD_000010_vign000002.png,Calanoid_1
04072021_Huron_10_2mm_Rep2_AD_000019_particle_3,04072021_Huron_10_2mm_Rep2_AD_000019_vign000003.png,Calanoid_1
04072021_Huron_10_2mm_Rep2_AD_000020_particle_4,04072021_Huron_10_2mm_Rep2_AD_000020_vign000004.png,Calanoid_1
04072021_Huron_10_2mm_Rep2_AD_000021_particle_5,04072021_Huron_10_2mm_Rep2_AD_000021_vign000005.png,Herpacticoida
04072021_Huron_10_2mm_Rep2_AD_000026_particle_6,04072021_Huron_10_2mm_Rep2_AD_000026_vign000006.png,Herpacticoida
04072021_Huron_10_2mm_Rep2_AD_000026_particle_7,04072021_Huron_10_2mm_Rep2_AD_000026_vign000007.png,Herpacticoida
04072021_Huron_10_2mm_Rep2_AD_000026_particle_8,04072021_Huron_10_2mm_Rep2_AD_000026_vign000008.png,Calanoid_1
04072021_Huron_10_2mm_Rep2_AD_000027_particle_9,04072021_Huron_10_2mm_Rep2_AD_000027_vign000009.png,Calanoid_1
04072021_Huron_10_2mm_Rep2_AD_000028_particle_10,04072021_Huron_10_2mm_Rep2_AD_000028_vign000010.png,Calanoid_1
04072021_Huron_10_2mm_Rep2_AD_000028_particle_11,04072021_Huron_10_2mm_Rep2_AD_000028_vign000011.png,Calanoid_1
20190514_FISHI_152_2mm_rep2_AO_000001_particle_12,20190514_FISHI_152_2mm_rep2_AO_000001_vign000012.png,Herpacticoida
20190514_FISHI_152_2mm_rep2_AO_000001_particle_13,20190514_FISHI_152_2mm_rep2_AO_000001_vign000013.png,Calanoid_1
20190514_FISHI_152_2mm_rep2_AO_000001_particle_14,20190514_FISHI_152_2mm_rep2_AO_000001_vign000014.png,Bosmina_1
20190514_FISHI_152_2mm_rep2_AO_000001_particle_15,20190514_FISHI_152_2mm_rep2_AO_000001_vign000015.png,Calanoid_1
20190514_FISHI_152_2mm_rep2_AO_000001_particle_16,20190514_FISHI_152_2mm_rep2_AO_000001_vign000016.png,Bosmina_1
20190514_FISHI_152_2mm_rep2_AO_000001_particle_17,20190514_FISHI_152_2mm_rep2_AO_000001_vign000017.png,Bosmina_1
20190514_FISHI_152_2mm_rep2_AO_000001_particle_18,20190514_FISHI_152_2mm_rep2_AO_000001_vign000018.png,Bosmina_1
20190514_FISHI_152_2mm_rep2_AO_000001_particle_19,20190514_FISHI_152_2mm_rep2_AO_000001_vign000019.png,Bosmina_1
20190514_FISHI_152_2mm_rep2_AO_000001_particle_20,20190514_FISHI_152_2mm_rep2_AO_000001_vign000020.png,Bosmina_1
20190514_FISHI_152_2mm_rep2_AO_000001_particle_21,20190514_FISHI_152_2mm_rep2_AO_000001_vign000021.png,Bosmina_1
20190514_FISHI_152_2mm_rep2_AO_000001_particle_22,20190514_FISHI_152_2mm_rep2_AO_000001_vign000022.png,Bosmina_1
20190514_FISHI_152_2mm_rep2_AO_000001_particle_23,20190514_FISHI_152_2mm_rep2_AO_000001_vign000023.png,Bosmina_1
20190514_FISHI_152_2mm_rep2_AO_000002_particle_24,20190514_FISHI_152_2mm_rep2_AO_000002_vign000024.png,Herpacticoida
20190514_FISHI_152_2mm_rep2_AO_000002_particle_25,20190514_FISHI_152_2mm_rep2_AO_000002_vign000025.png,Calanoid_1
20190514_FISHI_152_2mm_rep2_AO_000002_particle_26,20190514_FISHI_152_2mm_rep2_AO_000002_vign000026.png,Bosmina_1
20190514_FISHI_152_2mm_rep2_AO_000002_particle_27,20190514_FISHI_152_2mm_rep2_AO_000002_vign000027.png,Bosmina_1
20190514_FISHI_152_2mm_rep2_AO_000002_particle_28,20190514_FISHI_152_2mm_rep2_AO_000002_vign000028.png,Bosmina_1
20190514_FISHI_152_2mm_rep2_AO_000002_particle_29,20190514_FISHI_152_2mm_rep2_AO_000002_vign000029.png,Chironomid
20190514_FISHI_152_2mm_rep2_AO_000003_particle_30,20190514_FISHI_152_2mm_rep2_AO_000003_vign000030.png,Bosmina_1
20190514_FISHI_152_2mm_rep2_AO_000004_particle_31,20190514_FISHI_152_2mm_rep2_AO_000004_vign000031.png,Bosmina_1
20190514_FISHI_152_2mm_rep2_AO_000004_particle_32,20190514_FISHI_152_2mm_rep2_AO_000004_vign000032.png,Bosmina_1
20190514_FISHI_152_2mm_rep2_AO_000005_particle_33,20190514_FISHI_152_2mm_rep2_AO_000005_vign000033.png,Herpacticoida
20190514_FISHI_152_2mm_rep2_AO_000005_particle_34,20190514_FISHI_152_2mm_rep2_AO_000005_vign000034.png,Bosmina_1
20190514_FISHI_152_2mm_rep2_AO_000005_particle_35,20190514_FISHI_152_2mm_rep2_AO_000005_vign000035.png,Calanoid_1
20190514_FISHI_152_2mm_rep2_AO_000006_particle_36,20190514_FISHI_152_2mm_rep2_AO_000006_vign000036.png,Bosmina_1
20190514_FISHI_152_2mm_rep2_AO_000006_particle_37,20190514_FISHI_152_2mm_rep2_AO_000006_vign000037.png,Bosmina_1
20190514_FISHI_152_2mm_rep2_AO_000006_particle_38,20190514_FISHI_152_2mm_rep2_AO_000006_vign000038.png,Bosmina_1
20190514_FISHI_152_2mm_rep2_AO_000006_particle_39,20190514_FISHI_152_2mm_rep2_AO_000006_vign000039.png,Bosmina_1
20190514_FISHI_152_2mm_rep2_AO_000006_particle_40,20190514_FISHI_152_2mm_rep2_AO_000006_vign000040.png,Herpacticoida
20190514_FISHI_152_2mm_rep2_AO_000006_particle_41,20190514_FISHI_152_2mm_rep2_AO_000006_vign000041.png,Bosmina_1
20190514_FISHI_152_2mm_rep2_AO_000006_particle_42,20190514_FISHI_152_2mm_rep2_AO_000006_vign000042.png,Bosmina_1
20190514_FISHI_152_2mm_rep2_AO_000006_particle_43,20190514_FISHI_152_2mm_rep2_AO_000006_vign000043.png,Bosmina_1
20190514_FISHI_152_2mm_rep2_AO_000007_particle_44,20190514_FISHI_152_2mm_rep2_AO_000007_vign000044.png,Bosmina_1
20190514_FISHI_152_2mm_rep2_AO_000007_particle_45,20190514_FISHI_152_2mm_rep2_AO_000007_vign000045.png,Herpacticoida
