Vignette,Class
20180528_Huron_303_2mm_rep1_000016_vign001963.png,Calanoid_1
20180528_Huron_293_2mm_rep2_000016_vign003463.png,Calanoid_1
20180528_Huron_293_2mm_rep2_000023_vign003956.png,Calanoid_1
20180528_Huron_293_2mm_rep2_000025_vign004121.png,Calanoid_1
20180514_Huron_157_2mm_rep2_000033_vign002137.png,Chironomid
20180528_Huron_293_2mm_rep2_000004_vign002492.png,Calanoid_1
20180528_Huron_293_2mm_rep2_000006_vign002620.png,Calanoid_1
20190514_FISHI_152_2mm_rep2_AO_000031_vign000165.png,Herpacticoida
20180528_Huron_293_2mm_rep2_000002_vign002407.png,Calanoid_1
20180528_Huron_293_2mm_rep2_000017_vign003520.png,Calanoid_1
20180528_Huron_293_2mm_rep2_000004_vign002536.png,Calanoid_1
20180528_Huron_293_2mm_rep2_000014_vign003290.png,Calanoid_1
04192021_Huron_40_2mm_Rep2_MS_000008_vign000723.png,Calanoid_1
20180528_Huron_293_2mm_rep2_000021_vign003817.png,Calanoid_1
20220525_FISHI_158_2mm_rep1_KG_000002_vign001504.png,Calanoid_1
04192021_Huron_40_2mm_Rep2_MS_000019_vign001111.png,Calanoid_1
20180528_Huron_293_2mm_rep2_000009_vign002879.png,Calanoid_1
20190514_FISHI_152_2mm_rep3_AO_000016_vign000333.png,Bosmina_1
20220525_FISHI_158_2mm_rep1_KG_000007_vign001598.png,Calanoid_1
20180509_Huron_129_2mm_rep2_000019_vign001922.png,Calanoid_1
04192021_Huron_40_2mm_Rep2_MS_000003_vign000533.png,Calanoid_1
20180509_Huron_129_2mm_rep2_000013_vign001891.png,Calanoid_1
20180528_Huron_293_2mm_rep2_000006_vign002628.png,Calanoid_1
20180528_Huron_293_2mm_rep2_000011_vign002995.png,Calanoid_1
20180528_Huron_293_2mm_rep2_000017_vign003489.png,Calanoid_1
20190514_FISHI_152_2mm_rep2_AO_000030_vign000164.png,Calanoid_1
04192021_Huron_40_2mm_Rep2_MS_000019_vign001079.png,Calanoid_1
20180528_Huron_293_2mm_rep2_000020_vign003709.png,Calanoid_1
20180528_Huron_293_2mm_rep2_000023_vign003981.png,Calanoid_1
20180528_Huron_293_2mm_rep2_000028_vign004385.png,Calanoid_1
20180528_Huron_293_2mm_rep2_000026_vign004208.png,Calanoid_1
20180528_Huron_293_2mm_rep2_000011_vign003035.png,Calanoid_1
20190527_FISHI_270_2mm_rep2_AO_000022_vign000231.png,Herpacticoida
20180528_Huron_293_2mm_rep2_000014_vign003298.png,Calanoid_1
05042021_Huron_140_2mm_rep1_MS_000014_vign002227.png,Calanoid_1
20220525_FISHI_158_2mm_rep1_KG_000004_vign001539.png,Calanoid_1
04192021_Huron_40_2mm_Rep2_MS_000016_vign000976.png,Calanoid_1
20220525_FISHI_158_2mm_rep1_KG_000007_vign001597.png,Calanoid_1
20180528_Huron_293_2mm_rep2_000001_vign002255.png,Calanoid_1
20180528_Huron_293_2mm_rep2_000003_vign002462.png,Calanoid_1
04192021_Huron_40_2mm_Rep2_MS_000010_vign000785.png,Calanoid_1
20220525_FISHI_158_2mm_rep1_KG_000012_vign001736.png,Calanoid_1
04192021_Huron_40_2mm_Rep2_MS_000007_vign000672.png,Calanoid_1
20190514_FISHI_152_2mm_rep3_AO_000019_vign000349.png,Bosmina_1
20190514_FISHI_152_2mm_rep2_AO_000009_vign000055.png,Bosmina_1
20220525_FISHI_158_2mm_rep1_KG_000005_vign001563.png,Calanoid_1
20180528_Huron_293_2mm_rep2_000012_vign003083.png,Calanoid_1
20220525_FISHI_158_2mm_rep1_KG_000013_vign001757.png,Calanoid_1
20180528_Huron_293_2mm_rep2_000025_vign004127.png,Calanoid_1
20220525_FISHI_158_2mm_rep1_KG_000013_vign001756.png,Calanoid_1
20180528_Huron_293_2mm_rep2_000013_vign003219.png,Calanoid_1
20180528_Huron_293_2mm_rep2_000006_vign002616.png,Calanoid_1
20180528_Huron_293_2mm_rep2_000026_vign004227.png,Calanoid_1
20180528_Huron_293_2mm_rep2_000016_vign003451.png,Calanoid_1
04192021_Huron_40_2mm_Rep2_MS_000009_vign000743.png,Calanoid_1
20180528_Huron_293_2mm_rep2_000027_vign004346.png,Calanoid_1
20180528_Huron_293_2mm_rep2_000016_vign003430.png,Calanoid_1
20180528_Huron_293_2mm_rep2_000009_vign002899.png,Calanoid_1
20180528_Huron_293_2mm_rep2_000004_vign002545.png,Calanoid_1
20220525_FISHI_158_2mm_rep1_KG_000011_vign001690.png,Calanoid_1
20180528_Huron_293_2mm_rep2_000013_vign003210.png,Calanoid_1
20180528_Huron_293_2mm_rep2_000004_vign002520.png,Calanoid_1
20190514_FISHI_152_2mm_rep3_AO_000009_vign000305.png,Bosmina_1
20190514_FISHI_152_2mm_rep3_AO_000022_vign000363.png,Bosmina_1
20180509_Huron_139_2mm_rep1_000110_vign002076.png,Calanoid_1
20180528_Huron_293_2mm_rep2_000021_vign003794.png,Calanoid_1
20190514_FISHI_152_2mm_rep2_AO_000002_vign000026.png,Bosmina_1
20180528_Huron_293_2mm_rep2_000005_vign002577.png,Calanoid_1
20180528_Huron_293_2mm_rep2_000007_vign002725.png,Calanoid_1
20180528_Huron_293_2mm_rep2_000023_vign003993.png,Calanoid_1
04192021_Huron_40_2mm_Rep2_MS_000008_vign000701.png,Calanoid_1
